fighter,weight_class,elo,record,fights,wins,losses,draws,win_rate,finish_rate,last_fight,rank
Bolaji Oki,Lightweight,1483.6,2-2-0,4,2,2,0,50.0,0.0,2025-09-06,193
Ross Pearson,Lightweight,1483.2,11-11-1,23,11,11,1,47.8,45.5,2019-03-30,194
Zhang Lipeng,Lightweight,1483.2,1-2-0,3,1,2,0,33.3,0.0,2015-05-16,194
Manvel Gamburyan,Lightweight,1483.0,2-3-0,5,2,3,0,40.0,100.0,2009-01-31,196
Anthony Njokuani,Lightweight,1483.0,3-5-0,8,3,5,0,37.5,33.3,2014-10-04,196
Yan Cabral,Lightweight,1482.6,1-2-0,3,1,2,0,33.3,100.0,2016-05-08,198
Per Eklund,Lightweight,1481.9,1-2-0,3,1,2,0,33.3,100.0,2009-02-21,199
Curt Warburton,Lightweight,1481.9,1-2-0,3,1,2,0,33.3,0.0,2011-06-26,199
Luigi Vendramini,Lightweight,1481.6,1-2-0,3,1,2,0,33.3,100.0,2021-09-04,201
Spencer Fisher,Lightweight,1481.5,7-8-0,15,7,8,0,46.7,42.9,2012-06-22,202
Yves Edwards,Lightweight,1481.3,10-9-1,20,10,9,1,50.0,70.0,2014-11-22,203
Rolando Delgado,Lightweight,1481.3,1-2-0,3,1,2,0,33.3,100.0,2009-11-14,203
Kyle Nelson,Lightweight,1480.9,1-2-0,3,1,2,0,33.3,0.0,2025-10-18,205
Nick Hein,Lightweight,1480.8,4-4-0,8,4,4,0,50.0,0.0,2019-06-01,206
Guram Kutateladze,Lightweight,1480.5,2-3-0,5,2,3,0,40.0,0.0,2025-03-22,207
Ismael Bonfim,Lightweight,1480.5,2-3-0,5,2,3,0,40.0,50.0,2025-11-08,207
Devonte Smith,Lightweight,1480.4,2-3-0,5,2,3,0,40.0,100.0,2022-03-05,209
Renee Forte,Lightweight,1478.9,1-2-0,3,1,2,0,33.3,0.0,2014-03-15,210
Daron Cruickshank,Lightweight,1478.4,6-6-1,13,6,6,1,46.2,50.0,2016-01-17,211
Rich Clementi,Lightweight,1478.3,3-4-0,7,3,4,0,42.9,33.3,2009-02-07,212
Matt Veach,Lightweight,1478.0,1-2-0,3,1,2,0,33.3,100.0,2010-04-10,213
Junior Assuncao,Lightweight,1477.7,1-2-0,3,1,2,0,33.3,100.0,2007-09-19,214
Lando Vannata,Lightweight,1477.7,3-6-2,11,3,6,2,27.3,66.7,2023-04-15,214
Dale Hartt,Lightweight,1477.6,1-2-0,3,1,2,0,33.3,100.0,2009-06-13,216
Devin Powell,Lightweight,1477.5,1-3-0,4,1,3,0,25.0,100.0,2018-11-17,217
Anton Kuivanen,Lightweight,1477.3,1-2-0,3,1,2,0,33.3,0.0,2013-02-23,218
Ivan Jorge,Lightweight,1477.1,1-2-0,3,1,2,0,33.3,0.0,2015-07-18,219
Felipe Silva,Lightweight,1477.1,1-2-0,3,1,2,0,33.3,100.0,2018-05-19,219
Shannon Gugerty,Lightweight,1477.0,2-3-0,5,2,3,0,40.0,100.0,2010-03-21,221
Francisco Trevino,Lightweight,1477.0,1-2-0,3,1,2,0,33.3,0.0,2015-10-03,221
Rafael Alves,Lightweight,1476.7,1-3-0,4,1,3,0,25.0,100.0,2023-02-25,223
Efrain Escudero,Lightweight,1476.0,5-7-0,12,5,7,0,41.7,40.0,2016-04-23,224
