fighter,weight_class,elo,record,fights,wins,losses,draws,win_rate,finish_rate,last_fight,rank
Brad Tavares,Middleweight,1518.8,16-11-0,27,16,11,0,59.3,12.5,2025-09-06,104
Josh Samman,Middleweight,1518.1,3-2-0,5,3,2,0,60.0,100.0,2016-07-13,105
Vitor Miranda,Middleweight,1516.9,3-3-0,6,3,3,0,50.0,100.0,2018-07-22,106
Tim Kennedy,Middleweight,1515.2,3-2-0,5,3,2,0,60.0,33.3,2016-12-10,107
Daniel Kelly,Middleweight,1513.8,6-4-0,10,6,4,0,60.0,33.3,2018-05-27,108
Tom Lawlor,Middleweight,1513.2,4-4-0,8,4,4,0,50.0,75.0,2013-04-06,109
Wanderlei Silva,Middleweight,1511.0,3-3-0,6,3,3,0,50.0,66.7,2011-11-19,110
Luke Barnatt,Middleweight,1510.9,3-3-0,6,3,3,0,50.0,66.7,2015-05-16,111
Trevin Giles,Middleweight,1509.5,4-3-0,7,4,3,0,57.1,50.0,2021-07-10,112
Karl Roberson,Middleweight,1509.0,4-3-0,7,4,3,0,57.1,50.0,2021-04-24,113
Kendall Grove,Middleweight,1507.7,7-6-0,13,7,6,0,53.8,57.1,2011-05-28,114
Rafael Natal,Middleweight,1507.1,9-7-1,17,9,7,1,52.9,22.2,2017-07-22,115
Nick Ring,Middleweight,1506.8,3-3-0,6,3,3,0,50.0,33.3,2013-12-06,116
Terry Martin,Middleweight,1506.6,2-2-0,4,2,2,0,50.0,100.0,2008-02-02,117
Tom Breese,Middleweight,1504.9,2-2-0,4,2,2,0,50.0,100.0,2021-01-20,118
Dongi Yang,Middleweight,1504.6,2-3-0,5,2,3,0,40.0,100.0,2015-11-28,119
Brad Scott,Middleweight,1503.6,3-3-0,6,3,3,0,50.0,66.7,2017-08-05,120
Kyle Daukaus,Middleweight,1503.4,3-4-1,8,3,4,1,37.5,66.7,2025-11-15,121
Trevor Prangley,Middleweight,1502.6,2-2-0,4,2,2,0,50.0,50.0,2006-04-06,122
Dan Miller,Middleweight,1502.1,5-6-0,11,5,6,0,45.5,60.0,2015-07-12,123
Ryan Janes,Middleweight,1502.0,2-2-0,4,2,2,0,50.0,50.0,2017-12-01,124
Cung Le,Middleweight,1501.7,2-2-0,4,2,2,0,50.0,50.0,2014-08-23,125
David Loiseau,Middleweight,1501.6,4-5-0,9,4,5,0,44.4,100.0,2010-06-12,126
Andrew Craig,Middleweight,1500.4,3-3-0,6,3,3,0,50.0,33.3,2014-06-28,127
Sam Alvey,Middleweight,1497.5,8-8-0,16,8,8,0,50.0,62.5,2022-08-06,128
Chris Leben,Middleweight,1497.4,12-10-0,22,12,10,0,54.5,75.0,2013-12-28,129
Ian Heinisch,Middleweight,1497.1,3-4-0,7,3,4,0,42.9,33.3,2021-07-24,130
Nick Catone,Middleweight,1495.9,3-3-0,6,3,3,0,50.0,33.3,2014-02-01,131
Andrey Pulyaev,Middleweight,1495.5,1-2-0,3,1,2,0,33.3,100.0,2026-01-24,132
Jake Collier,Middleweight,1495.3,2-2-0,4,2,2,0,50.0,50.0,2016-05-29,133
Nick Maximov,Middleweight,1493.1,2-2-0,4,2,2,0,50.0,0.0,2022-10-15,134
Daniel Sarafian,Middleweight,1492.6,2-3-0,5,2,3,0,40.0,100.0,2016-02-21,135
Rory Singer,Middleweight,1491.9,2-2-0,4,2,2,0,50.0,50.0,2007-06-16,136
Cody Brundage,Middleweight,1490.7,5-6-2,13,5,6,2,38.5,80.0,2026-01-31,137
CB Dollaway,Middleweight,1490.3,10-9-0,19,10,9,0,52.6,40.0,2018-09-15,138
Ivan Salaverry,Middleweight,1489.6,3-4-0,7,3,4,0,42.9,100.0,2008-05-24,139
Riki Fukuda,Middleweight,1489.4,2-3-0,5,2,3,0,40.0,0.0,2013-03-02,140
Eryk Anders,Middleweight,1489.4,6-7-1,14,6,7,1,42.9,50.0,2025-08-09,140
Albert Duraev,Middleweight,1489.3,2-2-0,4,2,2,0,50.0,0.0,2023-07-15,142
Zach Reese,Middleweight,1488.6,3-3-1,7,3,3,1,42.9,33.3,2026-02-21,143
Bruno Santos,Middleweight,1486.7,1-2-0,3,1,2,0,33.3,0.0,2014-10-04,144
Tamdan McCrory,Middleweight,1486.7,1-2-0,3,1,2,0,33.3,100.0,2016-10-01,144
Wellington Turman,Middleweight,1486.7,3-4-0,7,3,4,0,42.9,33.3,2022-11-12,144
Scott Askham,Middleweight,1485.8,2-4-0,6,2,4,0,33.3,100.0,2017-03-18,147
Jake Rosholt,Middleweight,1485.7,1-2-0,3,1,2,0,33.3,100.0,2009-11-21,148
Robert McDaniel,Middleweight,1485.1,1-2-0,3,1,2,0,33.3,100.0,2014-03-15,149
Antonio Braga Neto,Middleweight,1485.1,1-2-0,3,1,2,0,33.3,100.0,2017-12-09,149
Ronny Markes,Middleweight,1484.8,2-2-0,4,2,2,0,50.0,0.0,2014-03-23,151
Alex Nicholson,Middleweight,1484.7,1-2-0,3,1,2,0,33.3,100.0,2017-05-28,152
Tomasz Drwal,Middleweight,1483.8,1-2-0,3,1,2,0,33.3,100.0,2010-09-15,153
Jeremy Horn,Middleweight,1483.5,5-6-0,11,5,6,0,45.5,80.0,2009-01-17,154
Warlley Alves,Middleweight,1483.5,1-2-0,3,1,2,0,33.3,100.0,2024-05-18,154
Chidi Njokuani,Middleweight,1482.9,2-3-0,5,2,3,0,40.0,100.0,2023-08-26,156
Tafon Nchukwi,Middleweight,1482.0,1-2-0,3,1,2,0,33.3,0.0,2023-08-12,157
Paul Craig,Middleweight,1481.7,1-3-0,4,1,3,0,25.0,100.0,2024-11-16,158
Chris Camozzi,Middleweight,1481.6,9-10-0,19,9,10,0,47.4,33.3,2017-05-28,159
David Branch,Middleweight,1481.6,4-5-0,9,4,5,0,44.4,25.0,2019-03-30,159
Punahele Soriano,Middleweight,1481.2,3-4-0,7,3,4,0,42.9,100.0,2023-12-02,161
Gerald Meerschaert,Middleweight,1480.5,12-13-0,25,12,13,0,48.0,100.0,2025-11-15,162
Kalib Starnes,Middleweight,1479.0,2-3-0,5,2,3,0,40.0,50.0,2008-04-19,163
John Salter,Middleweight,1478.6,1-2-0,3,1,2,0,33.3,100.0,2010-08-28,164
Mario Miranda,Middleweight,1478.3,1-3-0,4,1,3,0,25.0,100.0,2011-03-26,165
Jason Day,Middleweight,1478.2,1-2-0,3,1,2,0,33.3,100.0,2009-03-07,166
Ron Stallings,Middleweight,1477.4,1-2-0,3,1,2,0,33.3,0.0,2015-09-05,167
Charles McCarthy,Middleweight,1476.5,1-2-0,3,1,2,0,33.3,100.0,2008-04-19,168
Ryan Loder,Middleweight,1476.3,1-2-0,3,1,2,0,33.3,100.0,2025-11-22,169
Tor Troeng,Middleweight,1475.3,1-3-0,4,1,3,0,25.0,100.0,2014-10-04,170
Tresean Gore,Middleweight,1475.2,2-4-0,6,2,4,0,33.3,100.0,2025-08-02,171
Darren Till,Middleweight,1475.1,1-3-0,4,1,3,0,25.0,0.0,2022-12-10,172
Mark Weir,Middleweight,1474.3,1-2-0,3,1,2,0,33.3,100.0,2003-04-25,173
Patrick Cote,Middleweight,1474.3,5-7-0,12,5,7,0,41.7,40.0,2012-11-17,173
Karlos Vemola,Middleweight,1474.3,1-2-0,3,1,2,0,33.3,100.0,2013-06-08,173
Abu Azaitar,Middleweight,1473.3,1-2-0,3,1,2,0,33.3,0.0,2023-10-21,176
Joe Riggs,Middleweight,1473.1,2-3-0,5,2,3,0,40.0,50.0,2016-02-21,177
Abdul Razak Alhassan,Middleweight,1473.1,2-4-1,7,2,4,1,28.6,100.0,2025-01-11,177
Eugene Jackson,Middleweight,1473.0,3-4-0,7,3,4,0,42.9,100.0,2002-07-13,179
Denis Kang,Middleweight,1472.6,1-2-0,3,1,2,0,33.3,0.0,2009-11-14,180
Johny Hendricks,Middleweight,1472.6,1-2-0,3,1,2,0,33.3,0.0,2017-11-04,180
Phil Hawes,Middleweight,1472.3,4-4-0,8,4,4,0,50.0,50.0,2024-01-13,182
Luke Zachrich,Middleweight,1471.2,1-2-0,3,1,2,0,33.3,0.0,2014-11-07,183
Dylan Andrews,Middleweight,1471.0,2-3-0,5,2,3,0,40.0,100.0,2015-05-09,184
Dave Menne,Middleweight,1470.7,1-2-0,3,1,2,0,33.3,0.0,2002-09-27,185
Clifford Starks,Middleweight,1470.2,1-2-0,3,1,2,0,33.3,0.0,2013-04-20,186
Dusko Todorovic,Middleweight,1469.8,4-6-0,10,4,6,0,40.0,100.0,2025-09-13,187
Bartosz Fabinski,Middleweight,1468.7,1-2-0,3,1,2,0,33.3,0.0,2021-04-17,188
Andrew Sanchez,Middleweight,1467.8,4-5-0,9,4,5,0,44.4,25.0,2021-10-16,189
Armen Petrosyan,Middleweight,1467.4,3-4-0,7,3,4,0,42.9,0.0,2025-03-08,190
Oskar Piechota,Middleweight,1466.3,2-3-1,6,2,3,1,33.3,50.0,2020-06-20,191
Tom Watson,Middleweight,1465.4,2-5-0,7,2,5,0,28.6,50.0,2015-08-08,192
Josh Fremd,Middleweight,1465.2,2-4-0,6,2,4,0,33.3,50.0,2024-07-13,193
Drew McFedries,Middleweight,1465.0,3-5-0,8,3,5,0,37.5,100.0,2009-09-19,194
Alessio Sakara,Middleweight,1464.3,3-5-0,8,3,5,0,37.5,66.7,2013-10-26,195
AJ Dobson,Middleweight,1464.2,1-3-0,4,1,3,0,25.0,0.0,2024-03-23,196
Trevor Smith,Middleweight,1463.4,5-7-0,12,5,7,0,41.7,0.0,2019-12-07,197
Jack Marshman,Middleweight,1463.0,3-5-0,8,3,5,0,37.5,33.3,2020-10-31,198
Yoshihiro Akiyama,Middleweight,1461.6,1-3-0,4,1,3,0,25.0,0.0,2011-08-06,199
Rob Kimmons,Middleweight,1461.5,3-4-0,7,3,4,0,42.9,66.7,2011-03-03,200
Eddie Gordon,Middleweight,1461.1,1-3-0,4,1,3,0,25.0,100.0,2015-06-27,201
Michael Kuiper,Middleweight,1460.9,1-3-0,4,1,3,0,25.0,100.0,2013-10-26,202
Markus Perez,Middleweight,1460.5,2-5-0,7,2,5,0,28.6,100.0,2021-01-20,203
Scott Smith,Middleweight,1459.5,1-3-0,4,1,3,0,25.0,100.0,2007-06-16,204
Bruno Silva,Middleweight,1459.4,4-7-0,11,4,7,0,36.4,100.0,2025-05-10,205
Lorenz Larkin,Middleweight,1459.0,1-4-0,5,1,4,0,20.0,0.0,2014-08-30,206
Kevin Casey,Middleweight,1457.8,1-3-3,7,1,3,3,14.3,0.0,2016-08-27,207
Joseph Holmes,Middleweight,1457.3,1-3-0,4,1,3,0,25.0,100.0,2023-05-06,208
Ihor Potieria,Middleweight,1456.8,1-3-0,4,1,3,0,25.0,0.0,2025-01-11,209
Bevon Lewis,Middleweight,1456.6,1-3-0,4,1,3,0,25.0,0.0,2020-11-07,210
Claudio Ribeiro,Middleweight,1456.6,1-3-0,4,1,3,0,25.0,100.0,2024-03-02,210
Jordan Wright,Middleweight,1456.1,1-3-0,4,1,3,0,25.0,100.0,2022-10-15,212
Deron Winn,Middleweight,1455.5,1-3-0,4,1,3,0,25.0,0.0,2022-06-18,213
Jason MacDonald,Middleweight,1453.8,6-8-0,14,6,8,0,42.9,100.0,2012-05-15,214
Travis Lutter,Middleweight,1452.3,1-4-0,5,1,4,0,20.0,100.0,2008-04-19,215
Jared Hamman,Middleweight,1452.2,1-3-0,4,1,3,0,25.0,100.0,2013-08-31,216
Charles Byrd,Middleweight,1452.1,1-3-0,4,1,3,0,25.0,100.0,2020-06-06,217
Mike Massenzio,Middleweight,1452.0,2-4-0,6,2,4,0,33.3,50.0,2012-05-05,218
Sedriques Dumas,Middleweight,1451.8,3-4-1,8,3,4,1,37.5,0.0,2025-11-01,219
Dustin Stoltzfus,Middleweight,1450.9,3-7-0,10,3,7,0,30.0,66.7,2025-09-13,220
Julian Marquez,Middleweight,1450.8,3-5-0,8,3,5,0,37.5,100.0,2025-03-01,221
Alessio Di Chirico,Middleweight,1450.1,4-7-0,11,4,7,0,36.4,50.0,2022-09-03,222
Phil Baroni,Middleweight,1449.5,3-6-0,9,3,6,0,33.3,66.7,2011-01-01,223
Garreth McLellan,Middleweight,1449.1,1-4-0,5,1,4,0,20.0,100.0,2017-03-11,224
Andy Enz,Middleweight,1448.0,0-3-0,3,0,3,0,0.0,0.0,2015-01-31,225
Jorge Santiago,Middleweight,1447.4,1-4-0,5,1,4,0,20.0,100.0,2011-10-08,226
Marc-Andre Barriault,Middleweight,1446.0,5-10-1,16,5,10,1,31.2,60.0,2026-02-07,227
Oluwale Bamgbose,Middleweight,1443.8,1-4-0,5,1,4,0,20.0,100.0,2017-12-16,228
Eric Spicely,Middleweight,1443.5,2-5-0,7,2,5,0,28.6,100.0,2019-06-22,229
Dylan Budka,Middleweight,1443.1,0-3-0,3,0,3,0,0.0,0.0,2025-02-15,230
Pete Sell,Middleweight,1441.6,1-4-0,5,1,4,0,20.0,100.0,2007-09-19,231
Robert Valentin,Middleweight,1441.3,0-3-0,3,0,3,0,0.0,0.0,2025-07-19,232
Maki Pitolo,Middleweight,1437.5,1-4-0,5,1,4,0,20.0,100.0,2021-12-04,233
Antonio Trocoli,Middleweight,1436.0,0-3-0,3,0,3,0,0.0,0.0,2025-12-06,234
Jose Daniel Medina,Middleweight,1436.0,0-3-0,3,0,3,0,0.0,0.0,2025-09-13,234
Gideon Ray,Middleweight,1433.3,0-3-0,3,0,3,0,0.0,0.0,2006-11-11,236
Dalcha Lungiambula,Middleweight,1432.4,1-4-0,5,1,4,0,20.0,0.0,2022-12-10,237
Joe Doerksen,Middleweight,1431.8,2-7-0,9,2,7,0,22.2,100.0,2010-12-11,238
John Phillips,Middleweight,1429.9,1-5-0,6,1,5,0,16.7,100.0,2020-10-17,239
Ryan Jensen,Middleweight,1427.0,2-6-0,8,2,6,0,25.0,100.0,2011-04-30,240
Denis Tiuliulin,Middleweight,1425.3,1-5-0,6,1,5,0,16.7,100.0,2024-08-03,241
Hector Lombard,Middleweight,1424.8,1-7-0,8,1,7,0,12.5,100.0,2018-09-22,242
Jamie Pickett,Middleweight,1419.4,2-6-0,8,2,6,0,25.0,0.0,2024-03-02,243
Alen Amedovski,Middleweight,1415.6,0-4-0,4,0,4,0,0.0,0.0,2022-09-17,244
Georges St-Pierre,Welterweight,1757.3,19-2-0,21,19,2,0,90.5,36.8,2013-11-16,1
Kamaru Usman,Welterweight,1714.4,16-2-0,18,16,2,0,88.9,31.2,2025-06-14,2
Belal Muhammad,Welterweight,1671.9,15-5-1,21,15,5,1,71.4,20.0,2025-11-22,3
Shavkat Rakhmonov,Welterweight,1668.2,7-0-0,7,7,0,0,100.0,85.7,2024-12-07,4
Ian Machado Garry,Welterweight,1659.9,10-1-0,11,10,1,0,90.9,30.0,2025-11-22,5
Michael Morales,Welterweight,1653.7,7-0-0,7,7,0,0,100.0,71.4,2025-11-15,6
Jack Della Maddalena,Welterweight,1643.0,8-1-0,9,8,1,0,88.9,62.5,2025-11-15,7
Leon Edwards,Welterweight,1641.1,14-5-1,20,14,5,1,70.0,28.6,2025-11-15,8
Carlos Prates,Welterweight,1640.9,6-1-0,7,6,1,0,85.7,100.0,2025-11-15,9
Jon Fitch,Welterweight,1631.3,13-3-1,17,13,3,1,76.5,30.8,2013-02-02,10
Joaquin Buckley,Welterweight,1626.5,6-1-0,7,6,1,0,85.7,66.7,2025-06-14,11
Sean Brady,Welterweight,1620.1,8-2-0,10,8,2,0,80.0,50.0,2025-11-15,12
Colby Covington,Welterweight,1619.1,12-5-0,17,12,5,0,70.6,41.7,2024-12-14,13
Demian Maia,Welterweight,1617.3,13-7-0,20,13,7,0,65.0,53.8,2021-06-12,14
Dong Hyun Kim,Welterweight,1615.6,13-4-1,18,13,4,1,72.2,38.5,2017-06-17,15
Gabriel Bonfim,Welterweight,1611.8,6-1-0,7,6,1,0,85.7,66.7,2025-11-08,16
Vicente Luque,Welterweight,1611.3,16-8-0,24,16,8,0,66.7,87.5,2025-10-11,17
Randy Brown,Welterweight,1609.5,14-7-0,21,14,7,0,66.7,50.0,2025-11-08,18
Daniel Rodriguez,Welterweight,1605.8,9-3-0,12,9,3,0,75.0,44.4,2025-07-19,19
Johny Hendricks,Welterweight,1605.7,12-6-0,18,12,6,0,66.7,41.7,2016-12-30,20
Rinat Fakhretdinov,Welterweight,1604.1,6-0-1,7,6,0,1,85.7,33.3,2025-09-06,21
Mike Malott,Welterweight,1598.8,6-1-0,7,6,1,0,85.7,66.7,2025-10-18,22
Tyron Woodley,Welterweight,1597.5,9-6-1,16,9,6,1,56.2,66.7,2021-03-27,23
Neil Magny,Welterweight,1595.3,24-13-0,37,24,13,0,64.9,41.7,2025-12-13,24
Bryan Battle,Welterweight,1593.1,5-1-1,7,5,1,1,71.4,80.0,2024-12-07,25
Li Jingliang,Welterweight,1588.7,11-6-0,17,11,6,0,64.7,72.7,2024-08-17,26
Rory MacDonald,Welterweight,1588.4,9-4-0,13,9,4,0,69.2,44.4,2016-06-18,27
Sam Patterson,Welterweight,1588.1,4-0-0,4,4,0,0,100.0,100.0,2025-09-06,28
Matt Hughes,Welterweight,1586.3,16-7-0,23,16,7,0,69.6,75.0,2011-09-24,29
James Krause,Welterweight,1586.1,4-0-0,4,4,0,0,100.0,50.0,2020-10-17,30
Gunnar Nelson,Welterweight,1585.9,9-6-0,15,9,6,0,60.0,77.8,2025-03-22,31
Jake Matthews,Welterweight,1585.9,11-5-0,16,11,5,0,68.8,36.4,2025-09-27,31
Michael Chiesa,Welterweight,1584.5,7-3-0,10,7,3,0,70.0,42.9,2025-06-14,33
Anthony Johnson,Welterweight,1583.9,7-3-0,10,7,3,0,70.0,85.7,2011-10-01,34
Michel Pereira,Welterweight,1583.4,6-2-0,8,6,2,0,75.0,33.3,2022-05-21,35
Uros Medic,Welterweight,1580.8,5-2-0,7,5,2,0,71.4,100.0,2026-02-21,36
Lorenz Larkin,Welterweight,1578.0,4-1-0,5,4,1,0,80.0,75.0,2016-08-20,37
Diego Sanchez,Welterweight,1577.5,12-7-0,19,12,7,0,63.2,41.7,2020-09-26,38
Rick Story,Welterweight,1573.4,12-7-0,19,12,7,0,63.2,33.3,2016-08-20,39
Khamzat Chimaev,Welterweight,1573.0,3-0-0,3,3,0,0,100.0,66.7,2022-04-09,40
Anthony Rocco Martin,Welterweight,1572.9,5-2-0,7,5,2,0,71.4,40.0,2020-06-06,41
Punahele Soriano,Welterweight,1571.5,4-0-0,4,4,0,0,100.0,25.0,2026-02-21,42
Robbie Lawler,Welterweight,1570.0,14-9-0,23,14,9,0,60.9,50.0,2023-07-08,43
Mike Pierce,Welterweight,1569.5,9-5-0,14,9,5,0,64.3,44.4,2015-12-11,44
Chris Lytle,Welterweight,1569.3,10-10-0,20,10,10,0,50.0,70.0,2011-08-14,45
John Hathaway,Welterweight,1569.0,7-2-0,9,7,2,0,77.8,14.3,2014-03-01,46
Matt Brown,Welterweight,1568.6,17-13-0,30,17,13,0,56.7,88.2,2023-05-13,47
Fabiano Iha,Welterweight,1567.2,3-0-0,3,3,0,0,100.0,100.0,2001-02-23,48
Muslim Salikhov,Welterweight,1567.1,9-5-0,14,9,5,0,64.3,55.6,2025-11-08,49
Jacobe Smith,Welterweight,1566.4,3-0-0,3,3,0,0,100.0,100.0,2026-02-21,50
Kevin Holland,Welterweight,1565.1,6-5-0,11,6,5,0,54.5,83.3,2025-10-18,51
Marcus Davis,Welterweight,1560.1,9-5-0,14,9,5,0,64.3,77.8,2010-08-28,52
Nicolas Dalby,Welterweight,1558.5,8-5-2,15,8,5,2,53.3,12.5,2025-11-22,53
Jeremiah Wells,Welterweight,1557.4,5-2-0,7,5,2,0,71.4,60.0,2025-11-01,54
Elizeu Zaleski dos Santos,Welterweight,1556.7,11-6-1,18,11,6,1,61.1,45.5,2025-08-02,55
Jorge Masvidal,Welterweight,1554.8,7-8-0,15,7,8,0,46.7,85.7,2023-04-08,56
Nick Diaz,Welterweight,1554.2,7-6-0,13,7,6,0,53.8,85.7,2013-03-16,57
Geoff Neal,Welterweight,1554.1,8-6-0,14,8,6,0,57.1,75.0,2026-02-21,58
Gilbert Burns,Welterweight,1552.8,8-6-0,14,8,6,0,57.1,25.0,2025-05-17,59
Stephen Thompson,Welterweight,1552.2,12-9-1,22,12,9,1,54.5,50.0,2025-07-12,60
Khaos Williams,Welterweight,1551.1,6-4-0,10,6,4,0,60.0,66.7,2025-06-07,61
Martin Kampmann,Welterweight,1550.9,7-5-0,12,7,5,0,58.3,57.1,2013-08-28,62
Anthony Pettis,Welterweight,1550.2,3-1-0,4,3,1,0,75.0,33.3,2020-12-19,63
Darren Till,Welterweight,1550.1,5-2-1,8,5,2,1,62.5,40.0,2019-03-16,64
Kelvin Gastelum,Welterweight,1549.1,5-3-0,8,5,3,0,62.5,40.0,2023-12-02,65
Yancy Medeiros,Welterweight,1549.1,3-1-0,4,3,1,0,75.0,100.0,2018-02-18,65
Alan Jouban,Welterweight,1548.5,8-5-0,13,8,5,0,61.5,50.0,2020-11-21,67
Santiago Ponzinibbio,Welterweight,1547.1,11-8-0,19,11,8,0,57.9,54.5,2025-05-03,68
Sean Strickland,Welterweight,1547.1,5-3-0,8,5,3,0,62.5,40.0,2018-10-27,68
Alberto Mina,Welterweight,1546.1,3-1-0,4,3,1,0,75.0,66.7,2018-05-12,70
Ramiz Brahimaj,Welterweight,1545.2,5-4-0,9,5,4,0,55.6,100.0,2026-02-21,71
Karo Parisyan,Welterweight,1544.8,8-4-1,13,8,4,1,61.5,25.0,2010-11-20,72
Dan Hardy,Welterweight,1544.6,6-4-0,10,6,4,0,60.0,33.3,2012-09-29,73
Pat Miletich,Welterweight,1544.5,3-1-0,4,3,1,0,75.0,100.0,2001-06-29,74
Tom Breese,Welterweight,1543.5,3-1-0,4,3,1,0,75.0,66.7,2016-06-04,75
Sergio Moraes,Welterweight,1542.5,8-4-1,13,8,4,1,61.5,50.0,2019-11-16,76
Matthew Riddle,Welterweight,1542.2,6-3-2,11,6,3,2,54.5,16.7,2013-02-16,77
Ryan LaFlare,Welterweight,1541.0,7-3-0,10,7,3,0,70.0,0.0,2018-10-06,78
Sean Sherk,Welterweight,1540.9,4-2-0,6,4,2,0,66.7,50.0,2006-04-15,79
Zak Cummings,Welterweight,1539.9,5-3-0,8,5,3,0,62.5,60.0,2018-05-19,80
Paul Daley,Welterweight,1539.6,2-1-0,3,2,1,0,66.7,100.0,2010-05-08,81
Patrick Cote,Welterweight,1538.7,5-3-0,8,5,3,0,62.5,40.0,2017-04-08,82
Claude Patrick,Welterweight,1538.3,3-1-0,4,3,1,0,75.0,33.3,2011-12-10,83
Michael Graves,Welterweight,1538.1,2-0-1,3,2,0,1,66.7,50.0,2016-07-30,84
Viscardi Andrade,Welterweight,1536.5,3-1-0,4,3,1,0,75.0,33.3,2016-03-19,85
Charles Radtke,Welterweight,1535.6,4-2-0,6,4,2,0,66.7,75.0,2025-11-01,86
Thiago Alves,Welterweight,1533.6,15-11-0,26,15,11,0,57.7,60.0,2019-12-07,87
Nate Diaz,Welterweight,1533.5,5-5-0,10,5,5,0,50.0,80.0,2022-09-10,88
Albert Tumenov,Welterweight,1533.2,5-3-0,8,5,3,0,62.5,60.0,2016-10-08,89
Rich Clementi,Welterweight,1532.0,2-1-0,3,2,1,0,66.7,100.0,2007-09-22,90
Claudio Silva,Welterweight,1531.3,4-3-0,7,4,3,0,57.1,75.0,2022-07-23,91
Sean Pierson,Welterweight,1531.1,4-2-0,6,4,2,0,66.7,0.0,2013-06-15,92
Jordan Mein,Welterweight,1530.5,5-4-0,9,5,4,0,55.6,40.0,2018-07-28,93
Drew Fickett,Welterweight,1528.6,4-3-0,7,4,3,0,57.1,75.0,2007-04-05,94
Abdul Razak Alhassan,Welterweight,1528.5,4-3-0,7,4,3,0,57.1,100.0,2020-11-14,95
Rafael Dos Anjos,Welterweight,1527.8,5-6-0,11,5,6,0,45.5,60.0,2024-10-26,96
Brian Foster,Welterweight,1527.4,3-2-0,5,3,2,0,60.0,100.0,2010-11-20,97
Brian Ebersole,Welterweight,1527.4,5-3-0,8,5,3,0,62.5,20.0,2015-06-06,97
Che Mills,Welterweight,1527.1,2-1-1,4,2,1,1,50.0,100.0,2013-02-16,99
Alex Morono,Welterweight,1526.0,13-9-1,23,13,9,1,56.5,30.8,2026-02-07,100
Lyman Good,Welterweight,1525.7,3-3-0,6,3,3,0,50.0,100.0,2020-06-20,101
Conor McGregor,Welterweight,1525.7,2-1-0,3,2,1,0,66.7,50.0,2020-01-18,101
Jake Shields,Welterweight,1525.5,4-3-0,7,4,3,0,57.1,0.0,2014-03-15,103
Curtis Millender,Welterweight,1525.0,3-2-0,5,3,2,0,60.0,33.3,2019-04-13,104
Josh Koscheck,Welterweight,1524.7,14-10-0,24,14,10,0,58.3,57.1,2015-03-21,105
Sergey Khandozhko,Welterweight,1523.4,2-1-0,3,2,1,0,66.7,50.0,2022-04-23,106
Mike Swick,Welterweight,1521.1,5-4-0,9,5,4,0,55.6,60.0,2015-07-11,107
Warlley Alves,Welterweight,1520.4,7-6-0,13,7,6,0,53.8,71.4,2023-01-21,108
Bryan Barberena,Welterweight,1519.4,8-7-0,15,8,7,0,53.3,50.0,2023-03-18,109
Hector Lombard,Welterweight,1518.8,2-1-1,4,2,1,1,50.0,50.0,2016-03-19,110
Carlston Harris,Welterweight,1518.7,4-3-0,7,4,3,0,57.1,75.0,2025-01-11,111
Chidi Njokuani,Welterweight,1518.5,3-2-0,5,3,2,0,60.0,33.3,2026-02-21,112
Carlos Condit,Welterweight,1517.1,9-10-0,19,9,10,0,47.4,55.6,2021-07-10,113
Robert Whittaker,Welterweight,1515.8,3-2-0,5,3,2,0,60.0,33.3,2014-06-28,114
Phil Rowe,Welterweight,1515.2,4-5-0,9,4,5,0,44.4,100.0,2026-02-21,115
Carlos Leal,Welterweight,1514.9,2-2-0,4,2,2,0,50.0,50.0,2026-02-21,116
Paul Kelly,Welterweight,1514.2,2-1-0,3,2,1,0,66.7,0.0,2009-02-21,117
Danny Barlow,Welterweight,1514.2,2-1-0,3,2,1,0,66.7,50.0,2025-03-01,117
Kiichi Kunimoto,Welterweight,1513.7,3-2-0,5,3,2,0,60.0,33.3,2017-06-10,119
Alex Garcia,Welterweight,1513.5,5-5-0,10,5,5,0,50.0,60.0,2018-10-27,120
Themba Gorimbo,Welterweight,1513.1,4-3-0,7,4,3,0,57.1,25.0,2025-11-01,121
Brock Larson,Welterweight,1512.9,3-2-0,5,3,2,0,60.0,66.7,2009-11-21,122
Ricardo Almeida,Welterweight,1512.1,2-2-0,4,2,2,0,50.0,50.0,2011-03-19,123
Siyar Bahadurzada,Welterweight,1510.6,3-4-0,7,3,4,0,42.9,100.0,2019-09-28,124
Trey Waters,Welterweight,1510.6,2-1-0,3,2,1,0,66.7,0.0,2025-09-06,124
Nikolay Veretennikov,Welterweight,1510.6,2-2-0,4,2,2,0,50.0,50.0,2026-02-07,124
Omari Akhmedov,Welterweight,1510.4,4-3-0,7,4,3,0,57.1,25.0,2017-05-28,127
John Maguire,Welterweight,1510.3,2-2-0,4,2,2,0,50.0,50.0,2012-11-17,128
Oban Elliott,Welterweight,1509.7,3-2-0,5,3,2,0,60.0,33.3,2026-01-31,129
Francisco Trinaldo,Welterweight,1509.5,2-2-0,4,2,2,0,50.0,0.0,2022-10-01,130
Jess Liaudin,Welterweight,1508.8,2-2-0,4,2,2,0,50.0,100.0,2008-06-07,131
Brad Blackburn,Welterweight,1508.2,3-2-0,5,3,2,0,60.0,33.3,2010-04-10,132
TJ Grant,Welterweight,1507.8,3-3-0,6,3,3,0,50.0,33.3,2010-12-11,133
Max Griffin,Welterweight,1507.8,8-10-0,18,8,10,0,44.4,37.5,2025-07-12,133
